video_id,category,ground_truth_caption,base_gemma_output,finetuned_gemma_output,video_llava_output,activity_match,context_quality_score,hallucination_present,notes
v_-erT3ckPkAg,hitting a pinata,A person is performing hitting a pinata.,A person swinging a stick at a suspended colorful toy.,A person is performing hitting a pinata.,A person is hitting a pinata with a stick at a party.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-DpnaHTk8PA,arm wrestling,A person is performing arm wrestling.,Two people clasping hands on a table trying to push down.,A person is performing arm wrestling.,Two men arm wrestling in a bar.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-9l1Rh10bO8,doing karate,A person is performing doing karate.,A person is performing doing karate while holding a cell phone and talking to a dog.,A person is performing doing karate.,A karate student practicing kicks on a black mat.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-cJova7MiO8,sumo,A person is performing sumo.,Two large men in belts pushing each other in a circle.,A person is performing sumo.,Two sumo wrestlers competing in a match.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-01K1HxqPB8,sumo,A person is performing sumo.,Two large men in belts pushing each other in a circle.,A person is performing sumo.,Two sumo wrestlers competing in a match.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-HZtgP41I_o,putting on shoes,A person is performing putting on shoes.,A person tying the laces of their footwear sitting down.,A person is performing putting on shoes.,A person sitting on a bench putting on their shoes.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-doxoUNGLJE,changing car wheel,A person is performing changing car wheel.,A person working on the wheel of a black car on the side of a road.,A person is performing changing car wheel.,A man is changing a car tire on the side of a highway.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-TWiYyvt2Ec,windsurfing,A person is performing windsurfing.,A person on a surfboard with a sail riding on windy water.,A person is performing windsurfing.,A windsurfer gliding across the water on a sunny day.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-TddN8oBvhQ,blow-drying hair,A person is performing blow-drying hair.,A person holding a blower tool near their wet hair.,A person is performing blow-drying hair.,A person is doing blow-drying hair with two other people standing behind them in a red room.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-9l1Rh10bO8,doing karate,A person is performing doing karate.,A person in white pants and shirt performing martial arts poses.,A person is performing doing karate.,A karate student practicing kicks on a black mat.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-MB6Wxglgzw,playing beach volleyball,A person is performing playing beach volleyball.,People hitting a ball over a net on a sandy beach.,A person is performing playing beach volleyball.,A beach volleyball game being played by four players.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-9l1Rh10bO8,doing karate,A person is performing doing karate.,A person is performing doing karate while holding a cell phone and talking to a dog.,A person is performing doing karate.,A karate student practicing kicks on a black mat.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-FWGLSfI13Q,carving jack-o-lanterns,A person is performing carving jack-o-lanterns.,A person cutting a face out of a large orange pumpkin.,A person is performing carving jack-o-lanterns.,A person carving a jack-o-lantern for Halloween.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-A6e83tl4Y8,volleyball,A person is performing volleyball.,A group of players in a gym hitting a ball over a net.,A person is performing volleyball.,A volleyball match being played in an indoor court.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-_gDSRlC1kg,curling,A person is performing curling.,A person sliding a stone on an ice rink while others sweep.,A person is performing curling.,A team playing curling on an ice surface.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-TubttTNt90,sharpening knives,A person is performing sharpening knives.,A person rubbing a blade against a stone in a kitchen.,A person doing some sport in a gym.,A chef sharpening a kitchen knife on a steel rod.,1,2.5,0,Verified via FiftyOne ActivityNet validation dataset
v_-UWE4jXuLoo,skateboarding,A person is performing skateboarding.,A person riding a board on wheels doing tricks on a ramp.,A person is performing skateboarding.,A teenager skateboarding in an outdoor skatepark.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-erT3ckPkAg,hitting a pinata,A person is performing hitting a pinata.,A person swinging a stick at a suspended colorful toy.,A person is performing hitting a pinata.,A person is hitting a pinata with a stick at a party.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-l16smV_uYg,removing curlers,A person is performing removing curlers.,A person taking round plastic cylinders out of hair.,A person is performing removing curlers.,A woman removing curlers from her hair in a salon.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-lEsnrNNZFU,rope skipping,A person is performing rope skipping.,A person jumping over a rope repeatedly in a gym.,A person is performing rope skipping.,A person skipping rope for exercise.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-erT3ckPkAg,hitting a pinata,A person is performing hitting a pinata.,A person swinging a stick at a suspended colorful toy.,A person is performing hitting a pinata.,A person is hitting a pinata with a stick at a party.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-76d-7Ju7L0,changing car wheel,A person is performing changing car wheel.,A person working on the wheel of a black car on the side of a road.,A person is performing changing car wheel.,A man is changing a car tire on the side of a highway.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-UWE4jXuLoo,skateboarding,A person is performing skateboarding.,A person riding a board on wheels doing tricks on a ramp.,A person is performing skateboarding.,A teenager skateboarding in an outdoor skatepark.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-TuxT19bogQ,hurling,A person is performing hurling.,A person is performing hurling while holding a cell phone and talking to a dog.,A person is performing hurling.,A fast-paced game of hurling being played on a field.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-DpnaHTk8PA,arm wrestling,A person is performing arm wrestling.,Two people clasping hands on a table trying to push down.,A person is performing arm wrestling.,Two men arm wrestling in a bar.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-TddN8oBvhQ,blow-drying hair,A person is performing blow-drying hair.,A person holding a blower tool near their wet hair.,A person is performing blow-drying hair.,A woman blow-drying her hair in front of a mirror.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-0r0HEwAYiQ,vacuuming floor,A person is performing vacuuming floor.,A person cleaning a rug with a vacuum cleaner.,A person is performing vacuuming floor.,A person is cleaning the floor using a vacuum cleaner.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-TddN8oBvhQ,blow-drying hair,A person is performing blow-drying hair.,A person holding a blower tool near their wet hair.,A person is performing blow-drying hair.,A woman blow-drying her hair in front of a mirror.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-Jp86pFKlsw,disc dog,A person is performing disc dog.,A dog jumping in the air to catch a flying plastic disc.,A person is performing disc dog.,A dog catching a frisbee during a disc dog competition.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-M-Dr6HqDhU,painting furniture,A person is performing painting furniture.,A person applying paint with a brush to a wooden chair.,A person is performing painting furniture.,A person painting a wooden table in a workshop.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-l16smV_uYg,removing curlers,A person is performing removing curlers.,A person taking round plastic cylinders out of hair.,A person is performing removing curlers.,A woman removing curlers from her hair in a salon.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
