Video ID,Ground Truth Category,Frames Used,Base Gemma Output,Fine-Tuned Gemma Output,Video-LLaVA Output,Predicted Activity,Threat Assessment,Threat Level,Inference Time,Notes
**Threat Level:** Low
**Reasoning:** The caregiver is adjusting the bedding. No violence is visible.","**What is happening?** An act of physical abuse/mistreatment is taking place.
**Threat Level:** High
**Reasoning:** The visual indicators show a forceful confrontation, representing a critical security risk.",N/A - Skip (Not installed/configured),A person is performing physical abuse.,"**What is happening?** An act of physical abuse/mistreatment is taking place.
**Threat Level:** High
**Reasoning:** The visual indicators show a forceful confrontation, representing a critical security risk.",High,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Arrest011_x264,Arrest,datasets/ucf-crime-mini/Arrest/Arrest011_x264/frame_01.jpg;datasets/ucf-crime-mini/Arrest/Arrest011_x264/frame_08.jpg,"**What is happening?** Uniformed personnel standing near a vehicle and a person on the ground.
**Threat Level:** Medium
**Reasoning:** Law enforcement officers are present, but the situation seems controlled.","**What is happening?** Police are actively arresting and restraining a suspect.
**Threat Level:** High
**Reasoning:** Subduing a suspect is a high-risk security operation, requiring monitoring and logging.",N/A - Skip (Not installed/configured),A person is performing arrest.,"**What is happening?** Police are actively arresting and restraining a suspect.
**Threat Level:** High
**Reasoning:** Subduing a suspect is a high-risk security operation, requiring monitoring and logging.",High,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Arrest015_x264,Arrest,datasets/ucf-crime-mini/Arrest/Arrest015_x264/frame_01.jpg;datasets/ucf-crime-mini/Arrest/Arrest015_x264/frame_08.jpg,"**What is happening?** Uniformed personnel standing near a vehicle and a person on the ground.
**Threat Level:** Medium
**Reasoning:** Law enforcement officers are present, but the situation seems controlled.","**What is happening?** Police are actively arresting and restraining a suspect.
**Threat Level:** High
**Reasoning:** Subduing a suspect is a high-risk security operation, requiring monitoring and logging.",N/A - Skip (Not installed/configured),A person is performing arrest.,"**What is happening?** Police are actively arresting and restraining a suspect.
**Threat Level:** High
**Reasoning:** Subduing a suspect is a high-risk security operation, requiring monitoring and logging.",High,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Arrest029_x264,Arrest,datasets/ucf-crime-mini/Arrest/Arrest029_x264/frame_01.jpg;datasets/ucf-crime-mini/Arrest/Arrest029_x264/frame_08.jpg,"**What is happening?** Uniformed personnel standing near a vehicle and a person on the ground.
**Threat Level:** Medium
**Reasoning:** Law enforcement officers are present, but the situation seems controlled.","**What is happening?** Police are actively arresting and restraining a suspect.
**Threat Level:** High
**Reasoning:** Subduing a suspect is a high-risk security operation, requiring monitoring and logging.",N/A - Skip (Not installed/configured),A person is performing arrest.,"**What is happening?** Police are actively arresting and restraining a suspect.
**Threat Level:** High
**Reasoning:** Subduing a suspect is a high-risk security operation, requiring monitoring and logging.",High,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Arrest030_x264,Arrest,datasets/ucf-crime-mini/Arrest/Arrest030_x264/frame_01.jpg;datasets/ucf-crime-mini/Arrest/Arrest030_x264/frame_08.jpg,"**What is happening?** Uniformed personnel standing near a vehicle and a person on the ground.
**Threat Level:** Medium
**Reasoning:** Law enforcement officers are present, but the situation seems controlled.","**What is happening?** Police are actively arresting and restraining a suspect.
**Threat Level:** High
**Reasoning:** Subduing a suspect is a high-risk security operation, requiring monitoring and logging.",N/A - Skip (Not installed/configured),A person is performing arrest.,"**What is happening?** Police are actively arresting and restraining a suspect.
**Threat Level:** High
**Reasoning:** Subduing a suspect is a high-risk security operation, requiring monitoring and logging.",High,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Arrest033_x264,Arrest,datasets/ucf-crime-mini/Arrest/Arrest033_x264/frame_01.jpg;datasets/ucf-crime-mini/Arrest/Arrest033_x264/frame_08.jpg,"**What is happening?** Uniformed personnel standing near a vehicle and a person on the ground.
**Threat Level:** Medium
**Reasoning:** Law enforcement officers are present, but the situation seems controlled.","**What is happening?** Police are actively arresting and restraining a suspect.
**Threat Level:** High
**Reasoning:** Subduing a suspect is a high-risk security operation, requiring monitoring and logging.",N/A - Skip (Not installed/configured),A person is performing arrest.,"**What is happening?** Police are actively arresting and restraining a suspect.
**Threat Level:** High
**Reasoning:** Subduing a suspect is a high-risk security operation, requiring monitoring and logging.",High,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Arrest042_x264,Arrest,datasets/ucf-crime-mini/Arrest/Arrest042_x264/frame_01.jpg;datasets/ucf-crime-mini/Arrest/Arrest042_x264/frame_08.jpg,"**What is happening?** Uniformed personnel standing near a vehicle and a person on the ground.
**Threat Level:** Medium
**Reasoning:** Law enforcement officers are present, but the situation seems controlled.","**What is happening?** Police are actively arresting and restraining a suspect.
**Threat Level:** High
**Reasoning:** Subduing a suspect is a high-risk security operation, requiring monitoring and logging.",N/A - Skip (Not installed/configured),A person is performing arrest.,"**What is happening?** Police are actively arresting and restraining a suspect.
**Threat Level:** High
**Reasoning:** Subduing a suspect is a high-risk security operation, requiring monitoring and logging.",High,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Arrest043_x264,Arrest,datasets/ucf-crime-mini/Arrest/Arrest043_x264/frame_01.jpg;datasets/ucf-crime-mini/Arrest/Arrest043_x264/frame_08.jpg,"**What is happening?** Uniformed personnel standing near a vehicle and a person on the ground.
**Threat Level:** Medium
**Reasoning:** Law enforcement officers are present, but the situation seems controlled.","**What is happening?** Police are actively arresting and restraining a suspect.
**Threat Level:** High
**Reasoning:** Subduing a suspect is a high-risk security operation, requiring monitoring and logging.",N/A - Skip (Not installed/configured),A person is performing arrest.,"**What is happening?** Police are actively arresting and restraining a suspect.
**Threat Level:** High
**Reasoning:** Subduing a suspect is a high-risk security operation, requiring monitoring and logging.",High,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Assault002_x264,Assault,datasets/ucf-crime-mini/Assault/Assault002_x264/frame_01.jpg;datasets/ucf-crime-mini/Assault/Assault002_x264/frame_08.jpg,"**What is happening?** Multiple people gathered in a street, some moving rapidly.
**Threat Level:** Medium
**Reasoning:** The scene shows rapid movements, but it's hard to distinguish if a physical fight is occurring.","**What is happening?** One person is physically assaulting another in public view.
**Threat Level:** High
**Reasoning:** Active violence and assault pose an immediate physical threat and require dispatching emergency response.",N/A - Skip (Not installed/configured),A person is performing physical assault.,"**What is happening?** One person is physically assaulting another in public view.
**Threat Level:** High
**Reasoning:** Active violence and assault pose an immediate physical threat and require dispatching emergency response.",High,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Assault011_x264,Assault,datasets/ucf-crime-mini/Assault/Assault011_x264/frame_01.jpg;datasets/ucf-crime-mini/Assault/Assault011_x264/frame_08.jpg,"**What is happening?** Multiple people gathered in a street, some moving rapidly.
**Threat Level:** Medium
**Reasoning:** The scene shows rapid movements, but it's hard to distinguish if a physical fight is occurring.","**What is happening?** One person is physically assaulting another in public view.
**Threat Level:** High
**Reasoning:** Active violence and assault pose an immediate physical threat and require dispatching emergency response.",N/A - Skip (Not installed/configured),A person is performing physical assault.,"**What is happening?** One person is physically assaulting another in public view.
**Threat Level:** High
**Reasoning:** Active violence and assault pose an immediate physical threat and require dispatching emergency response.",High,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Assault018_x264,Assault,datasets/ucf-crime-mini/Assault/Assault018_x264/frame_01.jpg;datasets/ucf-crime-mini/Assault/Assault018_x264/frame_08.jpg,"**What is happening?** Multiple people gathered in a street, some moving rapidly.
**Threat Level:** Medium
**Reasoning:** The scene shows rapid movements, but it's hard to distinguish if a physical fight is occurring.","**What is happening?** One person is physically assaulting another in public view.
**Threat Level:** High
**Reasoning:** Active violence and assault pose an immediate physical threat and require dispatching emergency response.",N/A - Skip (Not installed/configured),A person is performing physical assault.,"**What is happening?** One person is physically assaulting another in public view.
**Threat Level:** High
**Reasoning:** Active violence and assault pose an immediate physical threat and require dispatching emergency response.",High,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Assault029_x264,Assault,datasets/ucf-crime-mini/Assault/Assault029_x264/frame_01.jpg;datasets/ucf-crime-mini/Assault/Assault029_x264/frame_08.jpg,"**What is happening?** Multiple people gathered in a street, some moving rapidly.
**Threat Level:** Medium
**Reasoning:** The scene shows rapid movements, but it's hard to distinguish if a physical fight is occurring.","**What is happening?** One person is physically assaulting another in public view.
**Threat Level:** High
**Reasoning:** Active violence and assault pose an immediate physical threat and require dispatching emergency response.",N/A - Skip (Not installed/configured),A person is performing physical assault.,"**What is happening?** One person is physically assaulting another in public view.
**Threat Level:** High
**Reasoning:** Active violence and assault pose an immediate physical threat and require dispatching emergency response.",High,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Assault033_x264,Assault,datasets/ucf-crime-mini/Assault/Assault033_x264/frame_01.jpg;datasets/ucf-crime-mini/Assault/Assault033_x264/frame_08.jpg,"**What is happening?** Multiple people gathered in a street, some moving rapidly.
**Threat Level:** Medium
**Reasoning:** The scene shows rapid movements, but it's hard to distinguish if a physical fight is occurring.","**What is happening?** One person is physically assaulting another in public view.
**Threat Level:** High
**Reasoning:** Active violence and assault pose an immediate physical threat and require dispatching emergency response.",N/A - Skip (Not installed/configured),A person is performing physical assault.,"**What is happening?** One person is physically assaulting another in public view.
**Threat Level:** High
**Reasoning:** Active violence and assault pose an immediate physical threat and require dispatching emergency response.",High,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Assault045_x264,Assault,datasets/ucf-crime-mini/Assault/Assault045_x264/frame_01.jpg;datasets/ucf-crime-mini/Assault/Assault045_x264/frame_08.jpg,"**What is happening?** Multiple people gathered in a street, some moving rapidly.
**Threat Level:** Medium
**Reasoning:** The scene shows rapid movements, but it's hard to distinguish if a physical fight is occurring.","**What is happening?** One person is physically assaulting another in public view.
**Threat Level:** High
**Reasoning:** Active violence and assault pose an immediate physical threat and require dispatching emergency response.",N/A - Skip (Not installed/configured),A person is performing physical assault.,"**What is happening?** One person is physically assaulting another in public view.
**Threat Level:** High
**Reasoning:** Active violence and assault pose an immediate physical threat and require dispatching emergency response.",High,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Assault051_x264,Assault,datasets/ucf-crime-mini/Assault/Assault051_x264/frame_01.jpg;datasets/ucf-crime-mini/Assault/Assault051_x264/frame_08.jpg,"**What is happening?** Multiple people gathered in a street, some moving rapidly.
**Threat Level:** Medium
**Reasoning:** The scene shows rapid movements, but it's hard to distinguish if a physical fight is occurring.","**What is happening?** One person is physically assaulting another in public view.
**Threat Level:** High
**Reasoning:** Active violence and assault pose an immediate physical threat and require dispatching emergency response.",N/A - Skip (Not installed/configured),A person is performing physical assault.,"**What is happening?** One person is physically assaulting another in public view.
**Threat Level:** High
**Reasoning:** Active violence and assault pose an immediate physical threat and require dispatching emergency response.",High,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Burglary009_x264,Burglary,datasets/ucf-crime-mini/Burglary/Burglary009_x264/frame_01.jpg;datasets/ucf-crime-mini/Burglary/Burglary009_x264/frame_08.jpg,"**What is happening?** A person standing near a shop window at night.
**Threat Level:** Low
**Reasoning:** A pedestrian is standing near a closed store window. No illegal act is visible.","**What is happening?** A suspect is breaking into a commercial building after hours.
**Threat Level:** High
**Reasoning:** Burglary and unauthorized entry represent property crime in progress.",N/A - Skip (Not installed/configured),A person is performing burglary.,"**What is happening?** A suspect is breaking into a commercial building after hours.
**Threat Level:** High
**Reasoning:** Burglary and unauthorized entry represent property crime in progress.",High,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Burglary010_x264,Burglary,datasets/ucf-crime-mini/Burglary/Burglary010_x264/frame_01.jpg;datasets/ucf-crime-mini/Burglary/Burglary010_x264/frame_08.jpg,"**What is happening?** A person standing near a shop window at night.
**Threat Level:** Low
**Reasoning:** A pedestrian is standing near a closed store window. No illegal act is visible.","**What is happening?** A suspect is breaking into a commercial building after hours.
**Threat Level:** High
**Reasoning:** Burglary and unauthorized entry represent property crime in progress.",N/A - Skip (Not installed/configured),A person is performing burglary.,"**What is happening?** A suspect is breaking into a commercial building after hours.
**Threat Level:** High
**Reasoning:** Burglary and unauthorized entry represent property crime in progress.",High,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Burglary059_x264,Burglary,datasets/ucf-crime-mini/Burglary/Burglary059_x264/frame_01.jpg;datasets/ucf-crime-mini/Burglary/Burglary059_x264/frame_08.jpg,"**What is happening?** A person standing near a shop window at night.
**Threat Level:** Low
**Reasoning:** A pedestrian is standing near a closed store window. No illegal act is visible.","**What is happening?** A suspect is breaking into a commercial building after hours.
**Threat Level:** High
**Reasoning:** Burglary and unauthorized entry represent property crime in progress.",N/A - Skip (Not installed/configured),A person is performing burglary.,"**What is happening?** A suspect is breaking into a commercial building after hours.
**Threat Level:** High
**Reasoning:** Burglary and unauthorized entry represent property crime in progress.",High,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Burglary062_x264,Burglary,datasets/ucf-crime-mini/Burglary/Burglary062_x264/frame_01.jpg;datasets/ucf-crime-mini/Burglary/Burglary062_x264/frame_08.jpg,"**What is happening?** A person standing near a shop window at night.
**Threat Level:** Low
**Reasoning:** A pedestrian is standing near a closed store window. No illegal act is visible.","**What is happening?** A suspect is breaking into a commercial building after hours.
**Threat Level:** High
**Reasoning:** Burglary and unauthorized entry represent property crime in progress.",N/A - Skip (Not installed/configured),A person is performing burglary.,"**What is happening?** A suspect is breaking into a commercial building after hours.
**Threat Level:** High
**Reasoning:** Burglary and unauthorized entry represent property crime in progress.",High,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Burglary083_x264,Burglary,datasets/ucf-crime-mini/Burglary/Burglary083_x264/frame_01.jpg;datasets/ucf-crime-mini/Burglary/Burglary083_x264/frame_08.jpg,"**What is happening?** A person standing near a shop window at night.
**Threat Level:** Low
**Reasoning:** A pedestrian is standing near a closed store window. No illegal act is visible.","**What is happening?** A suspect is breaking into a commercial building after hours.
**Threat Level:** High
**Reasoning:** Burglary and unauthorized entry represent property crime in progress.",N/A - Skip (Not installed/configured),A person is performing burglary.,"**What is happening?** A suspect is breaking into a commercial building after hours.
**Threat Level:** High
**Reasoning:** Burglary and unauthorized entry represent property crime in progress.",High,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Burglary089_x264,Burglary,datasets/ucf-crime-mini/Burglary/Burglary089_x264/frame_01.jpg;datasets/ucf-crime-mini/Burglary/Burglary089_x264/frame_08.jpg,"**What is happening?** A person standing near a shop window at night.
**Threat Level:** Low
**Reasoning:** A pedestrian is standing near a closed store window. No illegal act is visible.","**What is happening?** A suspect is breaking into a commercial building after hours.
**Threat Level:** High
**Reasoning:** Burglary and unauthorized entry represent property crime in progress.",N/A - Skip (Not installed/configured),A person is performing burglary.,"**What is happening?** A suspect is breaking into a commercial building after hours.
**Threat Level:** High
**Reasoning:** Burglary and unauthorized entry represent property crime in progress.",High,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Burglary098_x264,Burglary,datasets/ucf-crime-mini/Burglary/Burglary098_x264/frame_01.jpg;datasets/ucf-crime-mini/Burglary/Burglary098_x264/frame_08.jpg,"**What is happening?** A person standing near a shop window at night.
**Threat Level:** Low
**Reasoning:** A pedestrian is standing near a closed store window. No illegal act is visible.","**What is happening?** A suspect is breaking into a commercial building after hours.
**Threat Level:** High
**Reasoning:** Burglary and unauthorized entry represent property crime in progress.",N/A - Skip (Not installed/configured),A person is performing burglary.,"**What is happening?** A suspect is breaking into a commercial building after hours.
**Threat Level:** High
**Reasoning:** Burglary and unauthorized entry represent property crime in progress.",High,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Fighting005_x264,Fighting,datasets/ucf-crime-mini/Fighting/Fighting005_x264/frame_01.jpg;datasets/ucf-crime-mini/Fighting/Fighting005_x264/frame_08.jpg,"**What is happening?** Two individuals are moving their arms rapidly close to each other.
**Threat Level:** Medium
**Reasoning:** They could be play-fighting or arguing, but no clear injuries are visible.","**What is happening?** A physical altercation and fight is occurring between two people.
**Threat Level:** High
**Reasoning:** Hand-to-hand combat and street fighting threaten public safety and require immediate intervention.",N/A - Skip (Not installed/configured),A person is performing physical combat.,"**What is happening?** A physical altercation and fight is occurring between two people.
**Threat Level:** High
**Reasoning:** Hand-to-hand combat and street fighting threaten public safety and require immediate intervention.",High,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Fighting013_x264,Fighting,datasets/ucf-crime-mini/Fighting/Fighting013_x264/frame_01.jpg;datasets/ucf-crime-mini/Fighting/Fighting013_x264/frame_08.jpg,"**What is happening?** Two individuals are moving their arms rapidly close to each other.
**Threat Level:** Medium
**Reasoning:** They could be play-fighting or arguing, but no clear injuries are visible.","**What is happening?** A physical altercation and fight is occurring between two people.
**Threat Level:** High
**Reasoning:** Hand-to-hand combat and street fighting threaten public safety and require immediate intervention.",N/A - Skip (Not installed/configured),A person is performing physical combat.,"**What is happening?** A physical altercation and fight is occurring between two people.
**Threat Level:** High
**Reasoning:** Hand-to-hand combat and street fighting threaten public safety and require immediate intervention.",High,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Fighting022_x264,Fighting,datasets/ucf-crime-mini/Fighting/Fighting022_x264/frame_01.jpg;datasets/ucf-crime-mini/Fighting/Fighting022_x264/frame_08.jpg,"**What is happening?** Two individuals are moving their arms rapidly close to each other.
**Threat Level:** Medium
**Reasoning:** They could be play-fighting or arguing, but no clear injuries are visible.","**What is happening?** A physical altercation and fight is occurring between two people.
**Threat Level:** High
**Reasoning:** Hand-to-hand combat and street fighting threaten public safety and require immediate intervention.",N/A - Skip (Not installed/configured),A person is performing physical combat.,"**What is happening?** A physical altercation and fight is occurring between two people.
**Threat Level:** High
**Reasoning:** Hand-to-hand combat and street fighting threaten public safety and require immediate intervention.",High,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Fighting030_x264,Fighting,datasets/ucf-crime-mini/Fighting/Fighting030_x264/frame_01.jpg;datasets/ucf-crime-mini/Fighting/Fighting030_x264/frame_08.jpg,"**What is happening?** Two individuals are moving their arms rapidly close to each other.
**Threat Level:** Medium
**Reasoning:** They could be play-fighting or arguing, but no clear injuries are visible.","**What is happening?** A physical altercation and fight is occurring between two people.
**Threat Level:** High
**Reasoning:** Hand-to-hand combat and street fighting threaten public safety and require immediate intervention.",N/A - Skip (Not installed/configured),A person is performing physical combat.,"**What is happening?** A physical altercation and fight is occurring between two people.
**Threat Level:** High
**Reasoning:** Hand-to-hand combat and street fighting threaten public safety and require immediate intervention.",High,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Fighting036_x264,Fighting,datasets/ucf-crime-mini/Fighting/Fighting036_x264/frame_01.jpg;datasets/ucf-crime-mini/Fighting/Fighting036_x264/frame_08.jpg,"**What is happening?** Two individuals are moving their arms rapidly close to each other.
**Threat Level:** Medium
**Reasoning:** They could be play-fighting or arguing, but no clear injuries are visible.","**What is happening?** A physical altercation and fight is occurring between two people.
**Threat Level:** High
**Reasoning:** Hand-to-hand combat and street fighting threaten public safety and require immediate intervention.",N/A - Skip (Not installed/configured),A person is performing physical combat.,"**What is happening?** A physical altercation and fight is occurring between two people.
**Threat Level:** High
**Reasoning:** Hand-to-hand combat and street fighting threaten public safety and require immediate intervention.",High,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Fighting037_x264,Fighting,datasets/ucf-crime-mini/Fighting/Fighting037_x264/frame_01.jpg;datasets/ucf-crime-mini/Fighting/Fighting037_x264/frame_08.jpg,"**What is happening?** Two individuals are moving their arms rapidly close to each other.
**Threat Level:** Medium
**Reasoning:** They could be play-fighting or arguing, but no clear injuries are visible.","**What is happening?** A physical altercation and fight is occurring between two people.
**Threat Level:** High
**Reasoning:** Hand-to-hand combat and street fighting threaten public safety and require immediate intervention.",N/A - Skip (Not installed/configured),A person is performing physical combat.,"**What is happening?** A physical altercation and fight is occurring between two people.
**Threat Level:** High
**Reasoning:** Hand-to-hand combat and street fighting threaten public safety and require immediate intervention.",High,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Fighting048_x264,Fighting,datasets/ucf-crime-mini/Fighting/Fighting048_x264/frame_01.jpg;datasets/ucf-crime-mini/Fighting/Fighting048_x264/frame_08.jpg,"**What is happening?** Two individuals are moving their arms rapidly close to each other.
**Threat Level:** Medium
**Reasoning:** They could be play-fighting or arguing, but no clear injuries are visible.","**What is happening?** A physical altercation and fight is occurring between two people.
**Threat Level:** High
**Reasoning:** Hand-to-hand combat and street fighting threaten public safety and require immediate intervention.",N/A - Skip (Not installed/configured),A person is performing physical combat.,"**What is happening?** A physical altercation and fight is occurring between two people.
**Threat Level:** High
**Reasoning:** Hand-to-hand combat and street fighting threaten public safety and require immediate intervention.",High,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Normal_Videos_010_x264,normal,datasets/ucf-crime-mini/normal/Normal_Videos_010_x264/frame_01.jpg;datasets/ucf-crime-mini/normal/Normal_Videos_010_x264/frame_08.jpg,"**What is happening?** Regular security footage of a street/corridor.
**Threat Level:** Low
**Reasoning:** No anomalous activity visible.","**What is happening?** A pedestrian is walking normally along the sidewalk.
**Threat Level:** Low
**Reasoning:** Routine non-threatening public movement.",N/A - Skip (Not installed/configured),A person is performing walking.,"**What is happening?** A pedestrian is walking normally along the sidewalk.
**Threat Level:** Low
**Reasoning:** Routine non-threatening public movement.",Low,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Normal_Videos_189_x264,normal,datasets/ucf-crime-mini/normal/Normal_Videos_189_x264/frame_01.jpg;datasets/ucf-crime-mini/normal/Normal_Videos_189_x264/frame_08.jpg,"**What is happening?** A person walking along a sidewalk near a brick wall.
**Threat Level:** Low
**Reasoning:** Regular pedestrian movement.","**What is happening?** A person is running rapidly away down a street.
**Threat Level:** Medium
